num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
3015,0.5013,0.5014,0.6366,0.6791,-0.0077,-0.0189,0.0476,0.0523,0.0707,0.0518,-0.0404,-0.039,0.0037,0.0141,0.0187,0.0134,-0.0446,-0.0408,-0.0218,-0.0098,-0.0183,-0.0326,-0.0071,-0.0049,0.0094,0.0037,0.0054,-0.0027,2
3016,0.501,0.5018,0.6679,0.6581,-0.0049,-0.0149,0.0495,0.0502,0.0628,0.0566,-0.0382,-0.037,0.0062,0.0168,0.0179,0.0091,-0.0504,-0.0425,-0.0144,-0.0135,-0.0158,-0.0307,-0.0079,-0.0029,0.0049,0.0118,0.0045,-0.0001,2
3017,0.5009,0.5018,0.6253,0.637,-0.0072,-0.0116,0.0433,0.0527,0.0586,0.057,-0.0381,-0.0428,0.01,0.0148,0.0176,0.0097,-0.0396,-0.0434,-0.0163,-0.0178,-0.0155,-0.0277,-0.0053,-0.0039,0.0091,0.0045,0.0047,0.0022,2
3018,0.5019,0.5015,0.6169,0.6756,-0.0057,-0.0052,0.0444,0.052,0.0685,0.0556,-0.039,-0.0385,0.0106,0.0148,0.0175,0.0091,-0.0547,-0.043,-0.0201,-0.0187,-0.0176,-0.026,-0.0083,-0.0054,0.005,0.009,0.0053,-0.0046,2
3019,0.5013,0.5013,0.6223,0.6665,-0.0046,-0.0183,0.0455,0.0541,0.064,0.0561,-0.0387,-0.0415,0.0103,0.0133,0.0116,0.009,-0.0435,-0.0434,-0.0186,-0.0112,-0.0185,-0.0309,-0.0073,-0.0034,0.0092,0.009,0.0038,-0.0013,2
3020,0.501,0.5018,0.6431,0.6663,-0.0058,-0.0134,0.0393,0.0522,0.0565,0.0529,-0.0384,-0.043,0.0081,0.0134,0.0143,0.0094,-0.0459,-0.0445,-0.0197,-0.0151,-0.0166,-0.027,-0.0037,-0.0053,0.0148,0.0144,0.0053,-0.0016,2
3021,0.5011,0.5017,0.6309,0.6586,-0.0034,-0.0067,0.0512,0.0533,0.0611,0.0592,-0.0379,-0.0478,0.0092,0.0156,0.0121,0.0048,-0.048,-0.0421,-0.0159,-0.0101,-0.0147,-0.0286,-0.011,-0.0038,0.0071,0.0066,0.0059,-0.0008,2
3022,0.5015,0.5015,0.6378,0.6781,-0.0022,-0.0084,0.0462,0.0503,0.0638,0.05,-0.0388,-0.0416,0.0119,0.0149,0.0071,0.0082,-0.0402,-0.0443,-0.0219,-0.0152,-0.0172,-0.0316,-0.0158,-0.0037,0.0039,0.0044,0.0051,0.0005,2
3023,0.5017,0.5014,0.631,0.6245,-0.0044,-0.0114,0.044,0.0511,0.0626,0.0555,-0.0406,-0.0394,0.0105,0.0154,0.0122,0.0085,-0.0449,-0.0424,-0.0179,-0.0117,-0.0169,-0.0232,-0.0047,-0.0035,0.0115,0.005,0.0045,-0.0011,2
3024,0.501,0.5017,0.6259,0.6571,-0.0043,-0.0104,0.0485,0.0529,0.0756,0.0566,-0.0386,-0.0398,0.0092,0.0167,0.0178,0.0108,-0.0536,-0.0438,-0.0191,-0.0132,-0.0146,-0.0292,-0.009,-0.0053,0.0115,0.0076,0.0042,0.0006,2
